
======================================================================
Experiment: 308_dnn_64_32_16_lr_0_001_plateau
======================================================================

======================================================================
Cross Validation
======================================================================

Fold 1/5
Fold 0 | 058/200 | loss: 0.3858/0.3718 | acc: 0.8612/0.8462 | lr: 0.00015000 
Fold 0 | 059/200 | loss: 0.3865/0.3716 | acc: 0.8436/0.8462 | lr: 0.00007500 
Fold 0 | 060/200 | loss: 0.4014/0.3712 | acc: 0.8383/0.8462 | lr: 0.00007500 
Fold 0 | 061/200 | loss: 0.3913/0.3710 | acc: 0.8524/0.8462 | lr: 0.00007500 
Fold 0 | 062/200 | loss: 0.3866/0.3709 | acc: 0.8330/0.8462 | lr: 0.00007500 
Fold 0 | 063/200 | loss: 0.3837/0.3713 | acc: 0.8436/0.8462 | lr: 0.00007500 
Fold 0 | Early stopping on epoch 63
Fold 0 | 048/200 | loss: 0.4095/0.3701 | acc: 0.8471/0.8462 | lr: 0.00030000
Fold 0 | Best epoch: 48 | Best validation loss: 0.3701
Fold 0 | Accuracy: 0.8462 | Best epoch: 48 | Best loss: 0.3701

Fold 2/5
Fold 1 | 001/200 | loss: 0.6838/0.6812 | acc: 0.6169/0.6154 | lr: 0.00030000 *
Fold 1 | 002/200 | loss: 0.6808/0.6787 | acc: 0.6169/0.6154 | lr: 0.00030000 *
Fold 1 | 003/200 | loss: 0.6778/0.6758 | acc: 0.6169/0.6154 | lr: 0.00030000 *
Fold 1 | 004/200 | loss: 0.6750/0.6720 | acc: 0.6169/0.6154 | lr: 0.00030000 *
Fold 1 | 005/200 | loss: 0.6708/0.6667 | acc: 0.6186/0.6154 | lr: 0.00030000 *
Fold 1 | 006/200 | loss: 0.6645/0.6591 | acc: 0.6204/0.6154 | lr: 0.00030000 *
Fold 1 | 007/200 | loss: 0.6566/0.6486 | acc: 0.6344/0.6364 | lr: 0.00030000 *
Fold 1 | 008/200 | loss: 0.6440/0.6337 | acc: 0.6520/0.6783 | lr: 0.00030000 *
Fold 1 | 009/200 | loss: 0.6194/0.6116 | acc: 0.6907/0.7133 | lr: 0.00030000 *
Fold 1 | 010/200 | loss: 0.5990/0.5834 | acc: 0.7047/0.7343 | lr: 0.00030000 *
Fold 1 | 011/200 | loss: 0.5682/0.5530 | acc: 0.7311/0.7413 | lr: 0.00030000 *
Fold 1 | 012/200 | loss: 0.5503/0.5225 | acc: 0.7452/0.7413 | lr: 0.00030000 *
Fold 1 | 013/200 | loss: 0.5082/0.4931 | acc: 0.7821/0.7902 | lr: 0.00030000 *
Fold 1 | 014/200 | loss: 0.4936/0.4709 | acc: 0.8032/0.8252 | lr: 0.00030000 *
