
======================================================================
Experiment: 309_dnn_64_32_16_lr_0_001
======================================================================

======================================================================
Cross Validation
======================================================================

Fold 1/5
Fold 1 | 024/200 | loss: 0.3819/0.4252 | acc: 0.8612/0.8042 | lr: 0.00100000 
Fold 1 | 025/200 | loss: 0.3574/0.4266 | acc: 0.8541/0.8112 | lr: 0.00100000 
Fold 1 | Early stopping on epoch 25
Fold 1 | 010/200 | loss: 0.4021/0.4108 | acc: 0.8453/0.8252 | lr: 0.00100000
Fold 1 | Best epoch: 10 | Best validation loss: 0.4108
Fold 1 | Accuracy: 0.8252 | Best epoch: 10 | Best loss: 0.4108

Fold 3/5
Fold 2 | 001/200 | loss: 0.6804/0.6755 | acc: 0.6175/0.6127 | lr: 0.00100000 *
Fold 2 | 002/200 | loss: 0.6684/0.6611 | acc: 0.6175/0.6127 | lr: 0.00100000 *
Fold 2 | 003/200 | loss: 0.6451/0.6265 | acc: 0.6509/0.6690 | lr: 0.00100000 *
Fold 2 | 004/200 | loss: 0.5981/0.5606 | acc: 0.7000/0.7394 | lr: 0.00100000 *
Fold 2 | 005/200 | loss: 0.5181/0.4907 | acc: 0.7737/0.8099 | lr: 0.00100000 *
Fold 2 | 006/200 | loss: 0.4664/0.4474 | acc: 0.8053/0.8451 | lr: 0.00100000 *
Fold 2 | 007/200 | loss: 0.4529/0.4419 | acc: 0.8140/0.8380 | lr: 0.00100000 *
Fold 2 | 008/200 | loss: 0.4334/0.4284 | acc: 0.8228/0.8521 | lr: 0.00100000 *
Fold 2 | 009/200 | loss: 0.4110/0.4258 | acc: 0.8351/0.8451 | lr: 0.00100000 *
Fold 2 | 010/200 | loss: 0.4045/0.4265 | acc: 0.8509/0.8380 | lr: 0.00100000 
Fold 2 | 011/200 | loss: 0.4028/0.4319 | acc: 0.8421/0.8380 | lr: 0.00100000 
Fold 2 | 012/200 | loss: 0.3925/0.4335 | acc: 0.8421/0.8310 | lr: 0.00100000 
Fold 2 | 013/200 | loss: 0.3909/0.4288 | acc: 0.8509/0.8451 | lr: 0.00100000 
Fold 2 | 014/200 | loss: 0.4058/0.4256 | acc: 0.8439/0.8521 | lr: 0.00100000 *
Fold 2 | 015/200 | loss: 0.3853/0.4267 | acc: 0.8526/0.8521 | lr: 0.00100000 
Fold 2 | 016/200 | loss: 0.3785/0.4328 | acc: 0.8386/0.8451 | lr: 0.00100000 
Fold 2 | 017/200 | loss: 0.3921/0.4288 | acc: 0.8561/0.8451 | lr: 0.00100000 
Fold 2 | 018/200 | loss: 0.3910/0.4289 | acc: 0.8386/0.8451 | lr: 0.00100000 
Fold 2 | 019/200 | loss: 0.3850/0.4254 | acc: 0.8544/0.8451 | lr: 0.00100000 *
Fold 2 | 020/200 | loss: 0.3739/0.4311 | acc: 0.8474/0.8380 | lr: 0.00100000 
Fold 2 | 021/200 | loss: 0.3770/0.4297 | acc: 0.8491/0.8380 | lr: 0.00100000 
Fold 2 | 022/200 | loss: 0.3736/0.4310 | acc: 0.8579/0.8451 | lr: 0.00100000 
Fold 2 | 023/200 | loss: 0.3841/0.4332 | acc: 0.8526/0.8380 | lr: 0.00100000 
Fold 2 | 024/200 | loss: 0.3674/0.4348 | acc: 0.8579/0.8380 | lr: 0.00100000 
Fold 2 | 025/200 | loss: 0.3813/0.4254 | acc: 0.8649/0.8451 | lr: 0.00100000 
Fold 2 | 026/200 | loss: 0.3667/0.4293 | acc: 0.8544/0.8380 | lr: 0.00100000 
Fold 2 | 027/200 | loss: 0.3861/0.4256 | acc: 0.8491/0.8380 | lr: 0.00100000 
Fold 2 | 028/200 | loss: 0.3599/0.4254 | acc: 0.8702/0.8451 | lr: 0.00100000 
Fold 2 | 029/200 | loss: 0.3771/0.4274 | acc: 0.8526/0.8380 | lr: 0.00100000 
Fold 2 | 030/200 | loss: 0.3573/0.4334 | acc: 0.8579/0.8380 | lr: 0.00100000 
Fold 2 | 031/200 | loss: 0.3740/0.4290 | acc: 0.8596/0.8380 | lr: 0.00100000 
Fold 2 | 032/200 | loss: 0.3573/0.4296 | acc: 0.8614/0.8310 | lr: 0.00100000 
Fold 2 | 033/200 | loss: 0.3620/0.4286 | acc: 0.8614/0.8380 | lr: 0.00100000 
Fold 2 | 034/200 | loss: 0.3703/0.4289 | acc: 0.8544/0.8310 | lr: 0.00100000 
Fold 2 | Early stopping on epoch 34
Fold 2 | 019/200 | loss: 0.3850/0.4254 | acc: 0.8544/0.8451 | lr: 0.00100000
Fold 2 | Best epoch: 19 | Best validation loss: 0.4254
Fold 2 | Accuracy: 0.8451 | Best epoch: 19 | Best loss: 0.4254

Fold 4/5
Fold 3 | 001/200 | loss: 0.6814/0.6749 | acc: 0.6158/0.6197 | lr: 0.00100000 *
Fold 3 | 002/200 | loss: 0.6713/0.6616 | acc: 0.6158/0.6197 | lr: 0.00100000 *
Fold 3 | 003/200 | loss: 0.6457/0.6271 | acc: 0.6298/0.6901 | lr: 0.00100000 *
Fold 3 | 004/200 | loss: 0.6045/0.5559 | acc: 0.6947/0.7042 | lr: 0.00100000 *
Fold 3 | 005/200 | loss: 0.5404/0.4670 | acc: 0.7632/0.8239 | lr: 0.00100000 *
Fold 3 | 006/200 | loss: 0.4724/0.4087 | acc: 0.8175/0.8099 | lr: 0.00100000 *
Fold 3 | 007/200 | loss: 0.4573/0.3876 | acc: 0.8123/0.8239 | lr: 0.00100000 *
Fold 3 | 008/200 | loss: 0.4505/0.3727 | acc: 0.8175/0.8310 | lr: 0.00100000 *
Fold 3 | 009/200 | loss: 0.4282/0.3736 | acc: 0.8263/0.8239 | lr: 0.00100000 
Fold 3 | 010/200 | loss: 0.4387/0.3732 | acc: 0.8368/0.8380 | lr: 0.00100000 
Fold 3 | 011/200 | loss: 0.4263/0.3599 | acc: 0.8281/0.8380 | lr: 0.00100000 *
Fold 3 | 012/200 | loss: 0.4368/0.3548 | acc: 0.8246/0.8592 | lr: 0.00100000 *
Fold 3 | 013/200 | loss: 0.4196/0.3502 | acc: 0.8404/0.8592 | lr: 0.00100000 *
Fold 3 | 014/200 | loss: 0.4060/0.3489 | acc: 0.8404/0.8451 | lr: 0.00100000 *
Fold 3 | 015/200 | loss: 0.4128/0.3487 | acc: 0.8368/0.8662 | lr: 0.00100000 *
Fold 3 | 016/200 | loss: 0.4158/0.3445 | acc: 0.8333/0.8521 | lr: 0.00100000 *
Fold 3 | 017/200 | loss: 0.3947/0.3395 | acc: 0.8456/0.8662 | lr: 0.00100000 *
Fold 3 | 018/200 | loss: 0.4139/0.3419 | acc: 0.8456/0.8732 | lr: 0.00100000 
Fold 3 | 019/200 | loss: 0.4041/0.3385 | acc: 0.8439/0.8592 | lr: 0.00100000 *
