trial_number,cv_score,cv_std,fold_0_score,fold_1_score,fold_2_score,fold_3_score,fold_4_score,params_ccp_alpha,params_criterion,params_max_depth,params_max_leaf_nodes,params_min_samples_leaf,params_min_samples_split,state
94,0.8286023835319611,0.019073317030246395,0.8391608391608392,0.8531468531468531,0.823943661971831,0.8309859154929577,0.795774647887324,0.0,log_loss,11,18.0,3,10,COMPLETE
24,0.8272037821333595,0.020542246959286227,0.8391608391608392,0.8461538461538461,0.8098591549295775,0.8450704225352113,0.795774647887324,0.002,log_loss,10,18.0,4,8,COMPLETE
32,0.8272037821333595,0.020542246959286227,0.8391608391608392,0.8461538461538461,0.8098591549295775,0.8450704225352113,0.795774647887324,0.003,log_loss,11,18.0,4,4,COMPLETE
33,0.8272037821333595,0.020542246959286227,0.8391608391608392,0.8461538461538461,0.8098591549295775,0.8450704225352113,0.795774647887324,0.003,log_loss,11,18.0,4,6,COMPLETE
35,0.8272037821333595,0.020542246959286227,0.8391608391608392,0.8461538461538461,0.8098591549295775,0.8450704225352113,0.795774647887324,0.003,log_loss,10,18.0,4,10,COMPLETE
36,0.8272037821333595,0.020542246959286227,0.8391608391608392,0.8461538461538461,0.8098591549295775,0.8450704225352113,0.795774647887324,0.003,log_loss,8,18.0,4,9,COMPLETE
41,0.8272037821333595,0.020542246959286227,0.8391608391608392,0.8461538461538461,0.8098591549295775,0.8450704225352113,0.795774647887324,0.003,log_loss,8,18.0,4,9,COMPLETE
49,0.8272037821333595,0.020542246959286227,0.8391608391608392,0.8461538461538461,0.8098591549295775,0.8450704225352113,0.795774647887324,0.0,log_loss,11,18.0,4,8,COMPLETE
51,0.8272037821333595,0.020542246959286227,0.8391608391608392,0.8461538461538461,0.8098591549295775,0.8450704225352113,0.795774647887324,0.003,log_loss,8,18.0,4,9,COMPLETE
60,0.8272037821333595,0.020542246959286227,0.8391608391608392,0.8461538461538461,0.8098591549295775,0.8450704225352113,0.795774647887324,0.003,log_loss,9,18.0,4,4,COMPLETE
61,0.8272037821333595,0.020542246959286227,0.8391608391608392,0.8461538461538461,0.8098591549295775,0.8450704225352113,0.795774647887324,0.0,log_loss,11,18.0,4,8,COMPLETE
64,0.8272037821333595,0.020542246959286227,0.8391608391608392,0.8461538461538461,0.8098591549295775,0.8450704225352113,0.795774647887324,0.0,log_loss,11,18.0,4,5,COMPLETE
71,0.8272037821333595,0.020542246959286227,0.8391608391608392,0.8461538461538461,0.8098591549295775,0.8450704225352113,0.795774647887324,0.003,log_loss,8,18.0,4,9,COMPLETE
81,0.8272037821333595,0.020542246959286227,0.8391608391608392,0.8461538461538461,0.8098591549295775,0.8450704225352113,0.795774647887324,0.003,log_loss,9,18.0,4,4,COMPLETE
83,0.8272037821333595,0.020542246959286227,0.8391608391608392,0.8461538461538461,0.8098591549295775,0.8450704225352113,0.795774647887324,0.003,log_loss,8,18.0,4,9,COMPLETE
84,0.8272037821333595,0.020542246959286227,0.8391608391608392,0.8461538461538461,0.8098591549295775,0.8450704225352113,0.795774647887324,0.003,log_loss,10,18.0,4,6,COMPLETE
88,0.8272037821333595,0.020542246959286227,0.8391608391608392,0.8461538461538461,0.8098591549295775,0.8450704225352113,0.795774647887324,0.003,log_loss,9,18.0,4,3,COMPLETE
91,0.8272037821333595,0.020542246959286227,0.8391608391608392,0.8461538461538461,0.8098591549295775,0.8450704225352113,0.795774647887324,0.005,log_loss,11,18.0,4,7,COMPLETE
92,0.8272037821333595,0.020542246959286227,0.8391608391608392,0.8461538461538461,0.8098591549295775,0.8450704225352113,0.795774647887324,0.0,log_loss,11,18.0,4,8,COMPLETE
13,0.8257854821235103,0.024093072578300713,0.8391608391608392,0.8531468531468531,0.823943661971831,0.8309859154929577,0.7816901408450704,0.003,log_loss,12,18.0,3,2,COMPLETE
16,0.8257854821235103,0.024093072578300713,0.8391608391608392,0.8531468531468531,0.823943661971831,0.8309859154929577,0.7816901408450704,0.004,log_loss,11,18.0,3,2,COMPLETE
22,0.8257854821235103,0.024093072578300713,0.8391608391608392,0.8531468531468531,0.823943661971831,0.8309859154929577,0.7816901408450704,0.003,log_loss,12,18.0,3,4,COMPLETE
31,0.8257854821235103,0.024093072578300713,0.8391608391608392,0.8531468531468531,0.823943661971831,0.8309859154929577,0.7816901408450704,0.004,log_loss,12,18.0,3,4,COMPLETE
55,0.8257854821235103,0.024093072578300713,0.8391608391608392,0.8531468531468531,0.823943661971831,0.8309859154929577,0.7816901408450704,0.003,entropy,10,18.0,3,3,COMPLETE
63,0.8257854821235103,0.024093072578300713,0.8391608391608392,0.8531468531468531,0.823943661971831,0.8309859154929577,0.7816901408450704,0.0,log_loss,12,18.0,3,7,COMPLETE
82,0.8257854821235103,0.024093072578300713,0.8391608391608392,0.8531468531468531,0.823943661971831,0.8309859154929577,0.7816901408450704,0.003,log_loss,9,18.0,3,4,COMPLETE
67,0.8244065793361568,0.018635099675624676,0.8391608391608392,0.8321678321678322,0.8098591549295775,0.8450704225352113,0.795774647887324,0.0,log_loss,10,18.0,4,11,COMPLETE
72,0.8243770314192849,0.019887243200225523,0.8461538461538461,0.8461538461538461,0.8098591549295775,0.823943661971831,0.795774647887324,0.003,log_loss,7,18.0,4,6,COMPLETE
39,0.8230079779375554,0.016523923815780137,0.8461538461538461,0.8181818181818182,0.8098591549295775,0.8380281690140845,0.8028169014084507,0.001,log_loss,9,15.0,4,6,COMPLETE
10,0.8229882793263075,0.018960913579855316,0.8391608391608392,0.8391608391608392,0.8169014084507042,0.8309859154929577,0.7887323943661971,0.003,log_loss,12,18.0,2,2,COMPLETE
21,0.8229882793263075,0.018960913579855316,0.8391608391608392,0.8391608391608392,0.8169014084507042,0.8309859154929577,0.7887323943661971,0.003,log_loss,12,18.0,2,2,COMPLETE
53,0.8229882793263075,0.018960913579855316,0.8391608391608392,0.8391608391608392,0.8169014084507042,0.8309859154929577,0.7887323943661971,0.003,log_loss,8,18.0,2,9,COMPLETE
78,0.8229882793263075,0.018960913579855316,0.8391608391608392,0.8391608391608392,0.8169014084507042,0.8309859154929577,0.7887323943661971,0.004,log_loss,8,18.0,2,3,COMPLETE
89,0.8229882793263075,0.018960913579855316,0.8391608391608392,0.8391608391608392,0.8169014084507042,0.8309859154929577,0.7887323943661971,0.0,log_loss,11,18.0,2,9,COMPLETE
65,0.8215896779277061,0.014930371340080384,0.8321678321678322,0.8391608391608392,0.8169014084507042,0.823943661971831,0.795774647887324,0.002,log_loss,12,20.0,2,8,COMPLETE
45,0.8215798286220821,0.016296419523816975,0.8391608391608392,0.8391608391608392,0.8169014084507042,0.8169014084507042,0.795774647887324,0.003,log_loss,7,18.0,2,11,COMPLETE
79,0.8202009258347287,0.016036048883253055,0.8391608391608392,0.8181818181818182,0.8028169014084507,0.8380281690140845,0.8028169014084507,0.0005,entropy,11,15.0,6,10,COMPLETE
11,0.8201713779178569,0.015716621885335142,0.8391608391608392,0.8391608391608392,0.8098591549295775,0.8098591549295775,0.8028169014084507,0.003,log_loss,12,18.0,1,2,COMPLETE
12,0.8201713779178569,0.015716621885335142,0.8391608391608392,0.8391608391608392,0.8098591549295775,0.8098591549295775,0.8028169014084507,0.003,log_loss,12,18.0,1,2,COMPLETE
1,0.8188023244361272,0.008548868208595803,0.8181818181818182,0.8321678321678322,0.823943661971831,0.8098591549295775,0.8098591549295775,0.003,log_loss,6,10.0,4,20,COMPLETE
77,0.8188023244361272,0.008548868208595803,0.8181818181818182,0.8321678321678322,0.823943661971831,0.8098591549295775,0.8098591549295775,0.003,log_loss,9,10.0,4,8,COMPLETE
47,0.8187924751305033,0.01653113159873683,0.8461538461538461,0.8111888111888111,0.823943661971831,0.8169014084507042,0.795774647887324,0.002,log_loss,9,25.0,2,4,COMPLETE
97,0.8173840244262781,0.009477642433326154,0.8251748251748252,0.8321678321678322,0.8098591549295775,0.8098591549295775,0.8098591549295775,0.002,log_loss,10,10.0,3,22,COMPLETE
46,0.8173840244262781,0.013006730624691968,0.8251748251748252,0.8321678321678322,0.823943661971831,0.795774647887324,0.8098591549295775,0.01,entropy,8,10.0,5,7,COMPLETE
34,0.817374175120654,0.017641219952309325,0.8321678321678322,0.8321678321678322,0.795774647887324,0.8309859154929577,0.795774647887324,0.003,log_loss,11,18.0,5,7,COMPLETE
62,0.817374175120654,0.017641219952309325,0.8321678321678322,0.8321678321678322,0.795774647887324,0.8309859154929577,0.795774647887324,0.0,log_loss,11,18.0,5,10,COMPLETE
66,0.817374175120654,0.017641219952309325,0.8321678321678322,0.8321678321678322,0.795774647887324,0.8309859154929577,0.795774647887324,0.003,entropy,11,18.0,5,3,COMPLETE
73,0.817374175120654,0.017641219952309325,0.8321678321678322,0.8321678321678322,0.795774647887324,0.8309859154929577,0.795774647887324,0.003,log_loss,8,18.0,5,10,COMPLETE
85,0.817374175120654,0.017641219952309325,0.8321678321678322,0.8321678321678322,0.795774647887324,0.8309859154929577,0.795774647887324,0.002,log_loss,8,18.0,5,8,COMPLETE
93,0.817374175120654,0.017641219952309325,0.8321678321678322,0.8321678321678322,0.795774647887324,0.8309859154929577,0.795774647887324,0.0,log_loss,10,18.0,5,8,COMPLETE
44,0.8173643258150299,0.03386336231106105,0.8251748251748252,0.8461538461538461,0.8169014084507042,0.8450704225352113,0.7535211267605634,0.003,log_loss,6,18.0,4,9,COMPLETE
48,0.8159952723333005,0.02542307071857322,0.8391608391608392,0.8041958041958042,0.8169014084507042,0.8450704225352113,0.7746478873239436,0.001,log_loss,10,,6,12,COMPLETE
58,0.8159755737220526,0.015426647668776052,0.8321678321678322,0.8251748251748252,0.823943661971831,0.8098591549295775,0.7887323943661971,0.0015,log_loss,10,22.0,3,6,COMPLETE
52,0.8159755737220526,0.031492858635967784,0.8251748251748252,0.8321678321678322,0.795774647887324,0.8591549295774648,0.7676056338028169,0.003,log_loss,6,18.0,5,6,COMPLETE
7,0.8145966709346991,0.024276698291190148,0.8321678321678322,0.8041958041958042,0.8169014084507042,0.8450704225352113,0.7746478873239436,0.001,entropy,9,40.0,6,15,COMPLETE
99,0.814586821629075,0.01252547468982492,0.8321678321678322,0.8111888111888111,0.823943661971831,0.8098591549295775,0.795774647887324,0.004,log_loss,11,22.0,3,12,COMPLETE
38,0.8131882202304738,0.013199120576862483,0.8321678321678322,0.8041958041958042,0.8098591549295775,0.795774647887324,0.823943661971831,0.003,log_loss,3,10.0,7,11,COMPLETE
74,0.8117896188318724,0.021983142678103165,0.8391608391608392,0.7902097902097902,0.795774647887324,0.8380281690140845,0.795774647887324,0.003,log_loss,7,18.0,4,30,COMPLETE
76,0.8117797695262483,0.01707470236976164,0.8251748251748252,0.8111888111888111,0.8309859154929577,0.8098591549295775,0.7816901408450704,0.0015,log_loss,12,30.0,3,12,COMPLETE
3,0.8117699202206244,0.009838238636130998,0.8251748251748252,0.8181818181818182,0.8098591549295775,0.795774647887324,0.8098591549295775,0.01,log_loss,5,10.0,5,26,COMPLETE
25,0.8117699202206244,0.019816460242752958,0.8391608391608392,0.8041958041958042,0.795774647887324,0.8309859154929577,0.7887323943661971,0.002,log_loss,8,22.0,5,8,COMPLETE
23,0.8103910174332711,0.01775762884272097,0.8321678321678322,0.7902097902097902,0.795774647887324,0.8309859154929577,0.8028169014084507,0.0005,log_loss,11,18.0,6,5,COMPLETE
43,0.8103910174332711,0.01775762884272097,0.8321678321678322,0.7902097902097902,0.795774647887324,0.8309859154929577,0.8028169014084507,0.003,log_loss,9,18.0,6,13,COMPLETE
90,0.8103910174332711,0.01775762884272097,0.8321678321678322,0.7902097902097902,0.795774647887324,0.8309859154929577,0.8028169014084507,0.003,log_loss,9,18.0,6,6,COMPLETE
28,0.8103713188220232,0.012090984477067915,0.8251748251748252,0.8111888111888111,0.8169014084507042,0.8098591549295775,0.7887323943661971,0.005,entropy,8,25.0,1,16,COMPLETE
50,0.8103614695163991,0.012238585627866437,0.8181818181818182,0.8251748251748252,0.8169014084507042,0.795774647887324,0.795774647887324,0.005,log_loss,5,15.0,1,10,COMPLETE
15,0.8103516202107752,0.023815816517631642,0.8461538461538461,0.8041958041958042,0.8028169014084507,0.823943661971831,0.7746478873239436,0.005,entropy,10,25.0,4,5,COMPLETE
42,0.8103417709051512,0.016587920875191602,0.8251748251748252,0.8321678321678322,0.7887323943661971,0.795774647887324,0.8098591549295775,0.003,log_loss,4,18.0,5,10,COMPLETE
59,0.8103417709051512,0.021760800940795043,0.8251748251748252,0.8321678321678322,0.823943661971831,0.795774647887324,0.7746478873239436,0.01,log_loss,8,18.0,6,14,COMPLETE
86,0.8103417709051512,0.021760800940795043,0.8251748251748252,0.8321678321678322,0.823943661971831,0.795774647887324,0.7746478873239436,0.01,gini,10,18.0,3,11,COMPLETE
20,0.8089924160346695,0.011157424525447403,0.8181818181818182,0.7972027972027972,0.8098591549295775,0.823943661971831,0.795774647887324,0.0,log_loss,10,22.0,3,29,COMPLETE
70,0.8089924160346695,0.019483549749596974,0.8321678321678322,0.7832167832167832,0.8028169014084507,0.8309859154929577,0.795774647887324,0.001,log_loss,9,25.0,6,13,COMPLETE
95,0.8089727174234216,0.01061168411398063,0.8181818181818182,0.8111888111888111,0.8169014084507042,0.8098591549295775,0.7887323943661971,0.0,log_loss,8,25.0,3,11,COMPLETE
30,0.8089530188121736,0.01782783086304349,0.8251748251748252,0.8181818181818182,0.8169014084507042,0.8098591549295775,0.7746478873239436,0.002,log_loss,9,30.0,3,9,COMPLETE
8,0.8089333202009259,0.024124956830278824,0.8251748251748252,0.8321678321678322,0.823943661971831,0.795774647887324,0.7676056338028169,0.01,entropy,6,40.0,8,12,COMPLETE
9,0.8089333202009259,0.024124956830278824,0.8251748251748252,0.8321678321678322,0.823943661971831,0.795774647887324,0.7676056338028169,0.01,log_loss,9,10.0,7,10,COMPLETE
