trial_number,cv_score,seed_cv_std,cv_std,seed_0_fold_seed,seed_0_cv_mean,seed_0_cv_std,seed_1_fold_seed,seed_1_cv_mean,seed_1_cv_std,seed_2_fold_seed,seed_2_cv_mean,seed_2_cv_std,mean_best_iteration,median_best_iteration,fold_0_score,fold_1_score,fold_2_score,fold_3_score,fold_4_score,fold_5_score,fold_6_score,fold_7_score,fold_8_score,fold_9_score,fold_10_score,fold_11_score,fold_12_score,fold_13_score,fold_14_score,params_colsample_bytree,params_learning_rate,params_max_depth,params_reg_alpha,params_reg_lambda,params_subsample,state
31,0.8558192980728192,0.008438743177953668,0.020729637308961116,12648430,0.8637644046094751,0.0269277674106917,42,0.8441347385009358,0.013211513606151743,2026,0.8595587511080469,0.013261511230738217,228.6,107.0,0.8531468531468531,0.8741258741258742,0.8802816901408451,0.8943661971830986,0.8169014084507042,0.8251748251748252,0.8391608391608392,0.8591549295774648,0.8591549295774648,0.8380281690140845,0.8601398601398601,0.8531468531468531,0.8380281690140845,0.8732394366197183,0.8732394366197183,0.8244924870903084,0.11176949123089937,2,0.09960972038669126,0.5828846693956847,0.8364402681078542,COMPLETE
15,0.855349814504744,0.01102469031437208,0.025788505877841126,12648430,0.8609475032010243,0.031306240645989046,42,0.8399487836107553,0.02098565549501036,2026,0.8651531567024524,0.014492455855067362,194.8,111.0,0.8461538461538461,0.8811188811188811,0.852112676056338,0.9084507042253521,0.8169014084507042,0.8041958041958042,0.8321678321678322,0.8661971830985915,0.852112676056338,0.8450704225352113,0.8741258741258742,0.8671328671328671,0.8380281690140845,0.8802816901408451,0.8661971830985915,0.8346851967526235,0.10136152127401915,2,0.09357795193625722,0.6721998860256027,0.8387429226706943,COMPLETE
33,0.8548901802422929,0.009730326378902655,0.024557447084072884,12648430,0.8595489018024229,0.028153512660087195,42,0.8413473850093567,0.02159008681380303,2026,0.863774253915099,0.01632221626532302,277.73333333333335,181.0,0.8461538461538461,0.8741258741258742,0.8591549295774648,0.9014084507042254,0.8169014084507042,0.8041958041958042,0.8391608391608392,0.8661971830985915,0.8591549295774648,0.8380281690140845,0.8671328671328671,0.8531468531468531,0.8380281690140845,0.8802816901408451,0.8802816901408451,0.8183994736625807,0.09965961619195265,2,0.1061121278505328,0.6804979462405855,0.847492014833448,COMPLETE
51,0.8544206966742177,0.00725935177620983,0.024823454029818975,12648430,0.859539052496799,0.032153471171580315,42,0.8441544371121836,0.020595946082041426,2026,0.8595686004136708,0.01524724046781316,220.13333333333333,88.0,0.8531468531468531,0.8741258741258742,0.852112676056338,0.9084507042253521,0.8098591549295775,0.8111888111888111,0.8391608391608392,0.8661971830985915,0.8661971830985915,0.8380281690140845,0.8531468531468531,0.8531468531468531,0.8380281690140845,0.8732394366197183,0.8802816901408451,0.8247962529116323,0.1150585695214327,2,0.14205316286750214,0.5480045478208678,0.8193709077197785,COMPLETE
84,0.8544206966742177,0.009308076134389883,0.02399374453527387,12648430,0.8595489018024229,0.025194265808412664,42,0.8413572343149808,0.025323819355717758,2026,0.8623559539052497,0.013825036351315033,172.8,76.0,0.8531468531468531,0.8671328671328671,0.8661971830985915,0.8943661971830986,0.8169014084507042,0.8041958041958042,0.8321678321678322,0.8661971830985915,0.8732394366197183,0.8309859154929577,0.8671328671328671,0.8601398601398601,0.8380281690140845,0.8802816901408451,0.8661971830985915,0.827933981496339,0.10380868575821159,2,0.1982442770637925,1.5323766521661824,0.8356399857862722,COMPLETE
23,0.8544141304704685,0.008277028650571595,0.021445857247779143,12648430,0.8609475032010243,0.027622018960631444,42,0.8427361371023345,0.015342853640856071,2026,0.8595587511080469,0.013261511230738217,243.46666666666667,187.0,0.8531468531468531,0.8741258741258742,0.8591549295774648,0.9014084507042254,0.8169014084507042,0.8181818181818182,0.8391608391608392,0.8591549295774648,0.8591549295774648,0.8380281690140845,0.8601398601398601,0.8531468531468531,0.8380281690140845,0.8732394366197183,0.8732394366197183,0.8337861935718357,0.10965896390667271,2,0.14311462115696022,0.7549328535229303,0.8591015791313903,COMPLETE
38,0.8539512131061427,0.006944919155706935,0.024916093680761944,12648430,0.8581306017925737,0.030066615061938164,42,0.8441642864178075,0.022778201028787724,2026,0.8595587511080469,0.01717241052668407,348.6666666666667,167.0,0.8531468531468531,0.8741258741258742,0.852112676056338,0.9014084507042254,0.8098591549295775,0.8041958041958042,0.8391608391608392,0.8661971830985915,0.8661971830985915,0.8450704225352113,0.8531468531468531,0.8601398601398601,0.8309859154929577,0.8802816901408451,0.8732394366197183,0.8886345971926313,0.05166743983320415,2,0.19045678483734174,0.8681818833651386,0.8428809231147152,COMPLETE
10,0.8539446469023934,0.01195816306254155,0.021250366299893277,12648430,0.8609475032010243,0.021573500493117702,42,0.8371121835910568,0.013925176652717811,2026,0.863774253915099,0.01632221626532302,228.4,107.0,0.8531468531468531,0.8741258741258742,0.8661971830985915,0.8873239436619719,0.823943661971831,0.8181818181818182,0.8321678321678322,0.8591549295774648,0.8450704225352113,0.8309859154929577,0.8671328671328671,0.8531468531468531,0.8380281690140845,0.8802816901408451,0.8802816901408451,0.8170947883956019,0.10723386697381056,2,0.13011560021821125,0.5207056074892497,0.80002257967236,COMPLETE
56,0.8539446469023932,0.0090791723396871,0.02230463061124825,12648430,0.8581404510981976,0.02612739915085356,42,0.8413375357037328,0.01978029945047858,2026,0.8623559539052496,0.01308794469169443,246.4,225.0,0.8461538461538461,0.8741258741258742,0.8591549295774648,0.8943661971830986,0.8169014084507042,0.8111888111888111,0.8391608391608392,0.8591549295774648,0.8661971830985915,0.8309859154929577,0.8601398601398601,0.8671328671328671,0.8380281690140845,0.8732394366197183,0.8732394366197183,0.8526373696833636,0.09658203129740144,2,0.0602728767761822,0.9468108386936107,0.8460177012290759,COMPLETE
79,0.8539413638005188,0.008944681967809707,0.021444299623688753,12648430,0.8595489018024229,0.028153512660087195,42,0.841317837092485,0.01270187776954926,2026,0.8609573525066484,0.013623288096549037,318.0,349.0,0.8461538461538461,0.8741258741258742,0.8591549295774648,0.9014084507042254,0.8169014084507042,0.8251748251748252,0.8391608391608392,0.8591549295774648,0.852112676056338,0.8309859154929577,0.8601398601398601,0.8601398601398601,0.8380281690140845,0.8802816901408451,0.8661971830985915,0.8086827743893372,0.10772115084066967,2,0.1799920735994565,1.27988607059849,0.8290493491472797,COMPLETE
96,0.8534850126399421,0.009722917149141563,0.026025367446703217,12648430,0.8623461045996258,0.031731145819350895,42,0.8399487836107553,0.023652097998470067,2026,0.8581601497094453,0.013493203615243013,285.6,165.0,0.8601398601398601,0.8741258741258742,0.8591549295774648,0.9084507042253521,0.8098591549295775,0.8041958041958042,0.8321678321678322,0.8661971830985915,0.8661971830985915,0.8309859154929577,0.8531468531468531,0.8531468531468531,0.8380281690140845,0.8732394366197183,0.8732394366197183,0.8297534006875431,0.062467983300951,2,0.19209873236214775,0.512670484270566,0.8589512402573785,COMPLETE
