experiment_name,model_name,feature,coef,abs_coef,is_zero
219_refactoring_test,logistic_regression,cat__Deck_T,0.0,0.0,True
219_refactoring_test,logistic_regression,cat__Deck_G,0.0,0.0,True
219_refactoring_test,logistic_regression,cat__Title_Master,1.6325914948306885,1.6325914948306885,False
219_refactoring_test,logistic_regression,cat__Title_Mr,-1.1441766253495065,1.1441766253495065,False
219_refactoring_test,logistic_regression,cat__Sex_female,0.8727249862567698,0.8727249862567698,False
219_refactoring_test,logistic_regression,ord__Pclass_3,-0.869783474464487,0.869783474464487,False
219_refactoring_test,logistic_regression,cat__Sex_male,-0.8230521637695624,0.8230521637695624,False
219_refactoring_test,logistic_regression,cat__Title_Other,-0.8180375836774397,0.8180375836774397,False
219_refactoring_test,logistic_regression,ord__Pclass_1,0.7915470462850945,0.7915470462850945,False
219_refactoring_test,logistic_regression,cat__Title_Mrs,0.7020942246275852,0.7020942246275852,False
219_refactoring_test,logistic_regression,disc_count__FamilySize,-0.6801401627498612,0.6801401627498612,False
219_refactoring_test,logistic_regression,cont__Age,-0.3687436563228845,0.3687436563228845,False
219_refactoring_test,logistic_regression,disc_binary__CabinKnown,0.27800506714023104,0.27800506714023104,False
219_refactoring_test,logistic_regression,cat__Deck_E,0.25007964057094545,0.25007964057094545,False
219_refactoring_test,logistic_regression,cat__Deck_Unknown,-0.2283098818418927,0.2283098818418927,False
219_refactoring_test,logistic_regression,cont__Fare,0.14650323803833226,0.14650323803833226,False
219_refactoring_test,logistic_regression,cat__Embarked_C,0.13063791266256847,0.13063791266256847,False
219_refactoring_test,logistic_regression,cat__Embarked_S,-0.08503800972077255,0.08503800972077255,False
219_refactoring_test,logistic_regression,ord__Pclass_2,0.0,0.0,True
219_refactoring_test,logistic_regression,disc_binary__IsAlone,0.0,0.0,True
219_refactoring_test,logistic_regression,cat__Deck_C,0.0,0.0,True
219_refactoring_test,logistic_regression,cat__Deck_B,0.0,0.0,True
219_refactoring_test,logistic_regression,cat__Deck_A,0.0,0.0,True
219_refactoring_test,logistic_regression,cat__Title_Miss,0.0,0.0,True
219_refactoring_test,logistic_regression,cat__Deck_G,0.0,0.0,True
219_refactoring_test,logistic_regression,cat__Deck_F,0.0,0.0,True
219_refactoring_test,logistic_regression,cat__Deck_D,0.0,0.0,True
219_refactoring_test,logistic_regression,cat__Embarked_Q,0.0,0.0,True
219_refactoring_test,logistic_regression,cat__Title_Master,1.5369507281827754,1.5369507281827754,False
219_refactoring_test,logistic_regression,cat__Title_Mr,-1.1218451522593638,1.1218451522593638,False
219_refactoring_test,logistic_regression,ord__Pclass_3,-0.8959639131015875,0.8959639131015875,False
219_refactoring_test,logistic_regression,cat__Sex_female,0.857411881732303,0.857411881732303,False
219_refactoring_test,logistic_regression,cat__Sex_male,-0.808690700088198,0.808690700088198,False
219_refactoring_test,logistic_regression,cat__Title_Mrs,0.7562134483336703,0.7562134483336703,False
219_refactoring_test,logistic_regression,disc_count__FamilySize,-0.7219530882848343,0.7219530882848343,False
219_refactoring_test,logistic_regression,cat__Deck_E,0.679669813221,0.679669813221,False
219_refactoring_test,logistic_regression,ord__Pclass_1,0.5591573309677521,0.5591573309677521,False
219_refactoring_test,logistic_regression,cat__Title_Other,-0.5507074169530863,0.5507074169530863,False
219_refactoring_test,logistic_regression,cont__Age,-0.3675468648835695,0.3675468648835695,False
219_refactoring_test,logistic_regression,disc_binary__CabinKnown,0.3301288316297643,0.3301288316297643,False
219_refactoring_test,logistic_regression,cat__Deck_Unknown,-0.28141021456927673,0.28141021456927673,False
219_refactoring_test,logistic_regression,cat__Embarked_C,0.21292757308082977,0.21292757308082977,False
219_refactoring_test,logistic_regression,cont__Fare,0.1766429358694596,0.1766429358694596,False
219_refactoring_test,logistic_regression,cat__Deck_D,0.08210642059254084,0.08210642059254084,False
219_refactoring_test,logistic_regression,disc_binary__IsAlone,-0.06792531493078414,0.06792531493078414,False
219_refactoring_test,logistic_regression,cat__Deck_C,-0.06691083562638532,0.06691083562638532,False
219_refactoring_test,logistic_regression,cat__Embarked_S,-0.03364565764128007,0.03364565764128007,False
219_refactoring_test,logistic_regression,ord__Pclass_2,0.0,0.0,True
219_refactoring_test,logistic_regression,cat__Deck_A,0.0,0.0,True
219_refactoring_test,logistic_regression,cat__Title_Miss,0.0,0.0,True
219_refactoring_test,logistic_regression,cat__Deck_B,0.0,0.0,True
219_refactoring_test,logistic_regression,cat__Deck_T,0.0,0.0,True
219_refactoring_test,logistic_regression,cat__Deck_G,0.0,0.0,True
219_refactoring_test,logistic_regression,cat__Deck_F,0.0,0.0,True
219_refactoring_test,logistic_regression,cat__Embarked_Q,0.0,0.0,True
219_refactoring_test,logistic_regression,cat__Title_Master,1.5369507281827754,1.5369507281827754,False
219_refactoring_test,logistic_regression,cat__Title_Mr,-1.1218451522593638,1.1218451522593638,False
219_refactoring_test,logistic_regression,ord__Pclass_3,-0.8959639131015875,0.8959639131015875,False
219_refactoring_test,logistic_regression,cat__Sex_female,0.857411881732303,0.857411881732303,False
219_refactoring_test,logistic_regression,cat__Sex_male,-0.808690700088198,0.808690700088198,False
219_refactoring_test,logistic_regression,cat__Title_Mrs,0.7562134483336703,0.7562134483336703,False
219_refactoring_test,logistic_regression,disc_count__FamilySize,-0.7219530882848343,0.7219530882848343,False
219_refactoring_test,logistic_regression,cat__Deck_E,0.679669813221,0.679669813221,False
219_refactoring_test,logistic_regression,ord__Pclass_1,0.5591573309677521,0.5591573309677521,False
219_refactoring_test,logistic_regression,cat__Title_Other,-0.5507074169530863,0.5507074169530863,False
219_refactoring_test,logistic_regression,cont__Age,-0.3675468648835695,0.3675468648835695,False
219_refactoring_test,logistic_regression,disc_binary__CabinKnown,0.3301288316297643,0.3301288316297643,False
219_refactoring_test,logistic_regression,cat__Deck_Unknown,-0.28141021456927673,0.28141021456927673,False
219_refactoring_test,logistic_regression,cat__Embarked_C,0.21292757308082977,0.21292757308082977,False
219_refactoring_test,logistic_regression,cont__Fare,0.1766429358694596,0.1766429358694596,False
